db00349,drug-disease,dis:ataxia,0
db00349,drug-disease,"dis:constriction, pathologic",0
db00349,drug-disease,"dis:epilepsy, tonic-clonic",0
db00349,drug-disease,dis:glycosuria,0
db00349,drug-disease,dis:disorders of excessive somnolence,0
db00349,drug-disease,dis:hypothyroidism,0
db00349,drug-disease,dis:myoclonus,0
db00349,drug-disease,dis:paresis,0
db00349,drug-disease,dis:proteinuria,0
db00349,drug-disease,dis:seizures,0
db00349,drug-disease,dis:stevens-johnson syndrome,0
db00349,drug-disease,dis:substance withdrawal syndrome,0
db00349,drug-disease,dis:hypophosphatemia,0
db00349,drug-disease,dis:neurobehavioral manifestations,0
db00349,drug-disease,"dis:vasospasm, intracranial",0
db00361,drug-disease,dis:adenocarcinoma,0
db00361,drug-disease,dis:agranulocytosis,0
db00361,drug-disease,dis:alopecia,0
db00361,drug-disease,dis:anemia,0
db00361,drug-disease,dis:angina pectoris,0
db00361,drug-disease,dis:anorexia,0
db00361,drug-disease,dis:asthenia,0
db00361,drug-disease,dis:atrial fibrillation,0
db00361,drug-disease,dis:atrial flutter,0
db00361,drug-disease,dis:autonomic nervous system diseases,0
db00361,drug-disease,dis:breast neoplasms,0
db00361,drug-disease,dis:carcinoma,0
db00361,drug-disease,"dis:carcinoma, non-small-cell lung",0
db00361,drug-disease,"dis:carcinoma, squamous cell",0
db00361,drug-disease,dis:cardiovascular diseases,0
db00361,drug-disease,dis:central nervous system diseases,0
db00361,drug-disease,dis:constipation,0
db00361,drug-disease,dis:dermatitis,0
db00361,drug-disease,dis:diarrhea,0
db00361,drug-disease,dis:edema,0
db00361,drug-disease,dis:erythema,0
db00361,drug-disease,dis:fatigue,0
db00361,drug-disease,dis:fever,0
db00361,drug-disease,dis:gastrointestinal diseases,0
db00361,drug-disease,dis:head and neck neoplasms,0
db00361,drug-disease,"dis:hearing loss, bilateral",0
db00361,drug-disease,"dis:hearing loss, sensorineural",0
db00361,drug-disease,dis:heart diseases,0
db00361,drug-disease,dis:heart failure,0
db00361,drug-disease,dis:hematologic diseases,0
db00361,drug-disease,dis:hypertension,0
db00361,drug-disease,dis:hyponatremia,0
db00361,drug-disease,dis:inappropriate adh syndrome,0
db00361,drug-disease,dis:kidney diseases,0
db00361,drug-disease,dis:leukopenia,0
db00361,drug-disease,dis:liver neoplasms,0
db00361,drug-disease,dis:lung diseases,0
db00361,drug-disease,dis:lung neoplasms,0
db00361,drug-disease,dis:melanoma,0
db00361,drug-disease,dis:mesothelioma,0
db00361,drug-disease,dis:muscular diseases,0
db00361,drug-disease,dis:myocardial infarction,0
db00361,drug-disease,dis:nausea,0
db00361,drug-disease,dis:neoplasm metastasis,0
db00361,drug-disease,dis:neoplasms,0
db00361,drug-disease,dis:nervous system diseases,0
db00361,drug-disease,dis:neuralgia,0
db00361,drug-disease,dis:neutropenia,0
db00361,drug-disease,dis:ovarian neoplasms,0
db00361,drug-disease,dis:pain,0
